ID,Seed,Overall Score,RMSE,Breakdown,"S1(Al,B,C,Cr,Fe,Mo,Ni)"
23,1781193674,0.7249877022366822,0.2750122977633178,"S1(Al,B,C,Cr,Fe,Mo,Ni):0.725",0.7249877022366822
27,1781193678,0.7064333016176929,0.2935666983823071,"S1(Al,B,C,Cr,Fe,Mo,Ni):0.706",0.7064333016176929
28,1781193679,0.6933414906522835,0.3066585093477166,"S1(Al,B,C,Cr,Fe,Mo,Ni):0.693",0.6933414906522835
14,1781193664,0.6757411439652985,0.32425885603470156,"S1(Al,B,C,Cr,Fe,Mo,Ni):0.676",0.6757411439652985
8,1781193657,0.6703200936483291,0.3296799063516709,"S1(Al,B,C,Cr,Fe,Mo,Ni):0.670",0.6703200936483291
41,1781193694,0.6636874842668217,0.33631251573317833,"S1(Al,B,C,Cr,Fe,Mo,Ni):0.664",0.6636874842668217
36,1781193688,0.6487376387273491,0.3512623612726508,"S1(Al,B,C,Cr,Fe,Mo,Ni):0.649",0.6487376387273491
24,1781193675,0.6486515674794426,0.3513484325205574,"S1(Al,B,C,Cr,Fe,Mo,Ni):0.649",0.6486515674794426
48,1781193701,0.6478181506386729,0.35218184936132707,"S1(Al,B,C,Cr,Fe,Mo,Ni):0.648",0.6478181506386729
1,1781193650,0.6448714738049448,0.35512852619505525,"S1(Al,B,C,Cr,Fe,Mo,Ni):0.645",0.6448714738049448
